,no,date,lon,lat,depth,scale,month
26,小區域,2013-04-09 16:41:00,120.71,23.76,22.3,3.1,4
28,第050號,2013-04-10 13:10:00,121.71,24.25,12.6,2.9,4
30,小區域,2013-04-11 04:20:00,122.22,20.65,22.1,6.1,4
32,小區域,2013-04-11 07:34:00,121.88,24.81,9.5,3.2,4
34,小區域,2013-04-12 09:04:00,121.36,24.39,6.8,2.3,4
36,小區域,2013-04-12 19:44:00,121.45,24.37,6.3,2.8,4
38,小區域,2013-04-14 06:18:00,121.45,24.28,6.7,3.2,4
40,小區域,2013-04-15 05:26:00,121.43,23.67,15.1,3.1,4
42,第051號,2013-04-15 13:57:00,121.48,24.29,7.1,4.2,4
44,小區域,2013-04-16 02:25:00,121.48,24.29,6.6,3.3,4
46,第052號,2013-04-16 23:13:00,121.59,24.61,68.0,4.5,4
48,小區域,2013-04-19 09:34:00,121.78,23.4,27.8,3.7,4
50,第053號,2013-04-20 12:36:00,122.44,24.78,118.9,5.0,4
52,小區域,2013-04-20 21:25:00,121.48,24.29,7.1,3.2,4
54,第054號,2013-04-21 07:09:00,121.44,21.99,15.5,4.4,4
56,第055號,2013-04-21 11:07:00,122.34,24.41,70.6,5.0,4
58,小區域,2013-04-23 08:11:00,121.7,24.16,54.2,3.7,4
60,小區域,2013-04-23 14:33:00,121.48,23.8,11.0,2.8,4
62,小區域,2013-04-24 06:30:00,121.37,23.11,20.2,3.6,4
64,小區域,2013-04-26 17:31:00,121.38,24.06,67.3,4.0,4
66,小區域,2013-04-27 00:50:00,121.96,24.45,12.7,3.1,4
68,小區域,2013-04-27 07:31:00,121.45,24.37,7.0,3.3,4
70,小區域,2013-04-27 07:33:00,121.44,24.37,6.9,3.1,4
72,小區域,2013-04-27 09:42:00,121.45,24.38,6.8,3.0,4
74,小區域,2013-04-28 18:05:00,121.04,24.71,8.9,3.0,4
0,小區域,2013-05-01 11:31:00,120.66,22.85,17.2,3.8,5
2,小區域,2013-05-03 05:29:00,121.96,24.44,12.7,3.7,5
4,第056號,2013-05-03 20:34:00,121.62,24.01,9.2,3.5,5
6,小區域,2013-05-05 04:06:00,121.52,24.05,19.4,2.9,5
8,小區域,2013-05-07 00:49:00,121.44,24.38,7.5,3.3,5
10,小區域,2013-05-08 11:25:00,121.37,23.64,17.2,3.3,5
12,小區域,2013-05-09 22:02:00,121.45,24.38,6.3,2.9,5
14,小區域,2013-05-10 12:17:00,121.44,24.38,7.1,3.0,5
16,小區域,2013-05-10 12:27:00,121.45,24.4,5.8,3.1,5
18,小區域,2013-05-14 19:43:00,121.76,24.28,13.0,2.7,5
20,小區域,2013-05-14 22:58:00,120.96,23.21,5.7,3.7,5
22,小區域,2013-05-15 04:40:00,121.67,24.04,6.9,3.7,5
24,小區域,2013-05-16 06:19:00,121.68,24.05,6.5,3.9,5
26,第057號,2013-05-16 07:46:00,120.79,23.02,2.8,4.2,5
28,小區域,2013-05-16 08:19:00,120.8,23.02,6.0,3.5,5
30,小區域,2013-05-16 10:06:00,121.61,24.0,8.4,3.0,5
32,小區域,2013-05-16 12:30:00,120.79,23.02,2.5,3.4,5
34,小區域,2013-05-16 13:59:00,120.96,23.2,6.4,3.7,5
36,小區域,2013-05-17 00:36:00,121.63,24.3,22.9,2.8,5
38,第058號,2013-05-17 05:15:00,120.95,23.21,5.8,4.0,5
40,第059號,2013-05-17 13:44:00,121.76,24.28,14.0,4.3,5
42,小區域,2013-05-17 14:59:00,121.66,21.99,9.0,3.1,5
44,小區域,2013-05-17 17:48:00,121.45,24.37,5.6,2.9,5
46,小區域,2013-05-17 20:47:00,121.75,24.27,13.6,2.5,5
48,第060號,2013-05-18 17:50:00,120.43,23.25,13.3,3.8,5
50,第061號,2013-05-19 08:20:00,121.66,24.37,58.9,4.4,5
52,小區域,2013-05-19 11:48:00,121.75,24.28,13.8,2.8,5
54,小區域,2013-05-19 15:27:00,121.76,24.28,13.9,2.7,5
56,小區域,2013-05-19 23:31:00,121.76,24.27,13.5,2.5,5
58,第062號,2013-05-20 20:24:00,121.47,23.93,18.1,3.5,5
60,第063號,2013-05-21 12:21:00,121.77,24.28,13.8,3.9,5
62,第064號,2013-05-21 12:25:00,121.77,24.28,14.5,4.9,5
64,小區域,2013-05-21 12:33:00,121.76,24.28,13.9,3.0,5
66,小區域,2013-05-21 12:37:00,121.76,24.28,12.6,3.1,5
68,第065號,2013-05-21 12:40:00,121.76,24.28,13.0,3.4,5
70,第066號,2013-05-21 12:59:00,121.77,24.28,14.3,4.0,5
72,第067號,2013-05-21 13:16:00,121.76,24.28,13.0,3.6,5
