hour,loc,pollutant,value
11,大園,NO2,15.452407932011326
12,大園,NO2,14.135207100591712
13,大園,NO2,12.84700854700855
14,大園,NO2,12.783236994219651
15,大園,NO2,13.47771260997067
16,大園,NO2,14.177616279069763
17,大園,NO2,15.976880222841217
18,大園,NO2,17.974175824175827
19,大園,NO2,18.46912568306011
20,大園,NO2,18.885479452054796
21,大園,NO2,19.21945205479452
22,大園,NO2,18.74918032786885
23,大園,NO2,18.402732240437157
24,大園,NO2,18.171311475409833
1,大園,PM10,39.68627450980392
2,大園,PM10,39.04201680672269
3,大園,PM10,39.0812324929972
4,大園,PM10,38.406162464986
5,大園,PM10,38.418539325842694
6,大園,PM10,37.87359550561798
7,大園,PM10,39.25633802816901
8,大園,PM10,40.21348314606742
9,大園,PM10,41.98033707865169
10,大園,PM10,42.438202247191015
11,大園,PM10,43.21902017291066
12,大園,PM10,43.40406976744186
13,大園,PM10,43.15774647887324
14,大園,PM10,42.43142857142857
15,大園,PM10,41.96096096096096
16,大園,PM10,41.376068376068375
17,大園,PM10,41.59943977591036
18,大園,PM10,41.87675070028011
19,大園,PM10,42.27450980392157
20,大園,PM10,42.46778711484594
21,大園,PM10,42.45658263305322
22,大園,PM10,41.46498599439776
23,大園,PM10,40.88795518207283
24,大園,PM10,39.91596638655462
1,大園,SO2,4.594520547945206
2,大園,SO2,4.656830601092897
3,大園,SO2,4.5169398907103835
4,大園,SO2,4.362087912087911
5,大園,SO2,4.393939393939395
6,大園,SO2,4.733333333333331
7,大園,SO2,5.172252747252747
8,大園,SO2,5.419726027397262
9,大園,SO2,5.516528925619835
10,大園,SO2,5.078082191780822
11,大園,SO2,5.062499999999996
12,大園,SO2,4.645161290322581
13,大園,SO2,4.18153409090909
14,大園,SO2,3.8721264367816137
15,大園,SO2,3.76217008797654
16,大園,SO2,3.994690265486722
17,大園,SO2,4.45625
18,大園,SO2,4.433237822349571
19,大園,SO2,4.674643874643878
20,大園,SO2,4.679999999999998
21,大園,SO2,4.924657534246576
22,大園,SO2,5.102732240437156
23,大園,SO2,4.8991780821917805
24,大園,SO2,4.777534246575339
1,平鎮,NO2,17.218356164383568
2,平鎮,NO2,15.130327868852468
3,平鎮,NO2,14.189344262295085
4,平鎮,NO2,13.033972602739725
5,平鎮,NO2,12.64356164383561
6,平鎮,NO2,13.620821917808218
7,平鎮,NO2,16.22027397260274
8,平鎮,NO2,19.667397260273976
9,平鎮,NO2,18.691735537190088
10,平鎮,NO2,17.800824175824182
11,平鎮,NO2,17.211549295774642
12,平鎮,NO2,15.735174418604645
13,平鎮,NO2,14.1314121037464
14,平鎮,NO2,13.247398843930634
15,平鎮,NO2,13.997994269340968
16,平鎮,NO2,15.350415512465373
17,平鎮,NO2,17.719398907103827
18,平鎮,NO2,20.740437158469945
19,平鎮,NO2,22.957377049180327
20,平鎮,NO2,22.88770491803278
21,平鎮,NO2,22.415027322404367
22,平鎮,NO2,22.494808743169393
23,平鎮,NO2,21.12185792349727
24,平鎮,NO2,19.199726775956286
1,平鎮,PM10,49.5266106442577
2,平鎮,PM10,47.753501400560225
3,平鎮,PM10,46.410614525139664
4,平鎮,PM10,45.95530726256983
5,平鎮,PM10,45.19607843137255
6,平鎮,PM10,44.85674157303371
7,平鎮,PM10,45.69747899159664
8,平鎮,PM10,48.596638655462186
9,平鎮,PM10,50.54494382022472
10,平鎮,PM10,52.86516853932584
11,平鎮,PM10,53.48571428571429
12,平鎮,PM10,54.52873563218391
13,平鎮,PM10,54.140845070422536
14,平鎮,PM10,53.426086956521736
15,平鎮,PM10,52.53735632183908
16,平鎮,PM10,52.94134078212291
17,平鎮,PM10,53.46218487394958
18,平鎮,PM10,54.056022408963585
19,平鎮,PM10,54.71787709497207
20,平鎮,PM10,54.938375350140056
21,平鎮,PM10,54.1536312849162
22,平鎮,PM10,52.93296089385475
23,平鎮,PM10,51.96648044692738
24,平鎮,PM10,50.69832402234637
1,平鎮,SO2,4.250549450549453
2,平鎮,SO2,4.284383561643836
3,平鎮,SO2,4.3301369863013655
4,平鎮,SO2,4.331232876712331
5,平鎮,SO2,4.265934065934067
6,平鎮,SO2,4.36291208791209
7,平鎮,SO2,4.612637362637365
8,平鎮,SO2,4.7824175824175805
9,平鎮,SO2,4.657458563535912
10,平鎮,SO2,4.2443526170798895
11,平鎮,SO2,4.085633802816904
12,平鎮,SO2,3.874492753623187
13,平鎮,SO2,3.6836257309941534
14,平鎮,SO2,3.4942196531791914
15,平鎮,SO2,3.375287356321843
16,平鎮,SO2,3.4645251396648056
17,平鎮,SO2,3.6232876712328754
18,平鎮,SO2,3.854246575342467
19,平鎮,SO2,4.109315068493153
20,平鎮,SO2,4.287945205479454
21,平鎮,SO2,4.445329670329667
22,平鎮,SO2,4.70821917808219
23,平鎮,SO2,4.615890410958906
24,平鎮,SO2,4.466849315068489
1,新店,NO2,10.11061452513967
2,新店,NO2,8.164887640449445
3,新店,NO2,7.070111731843574
4,新店,NO2,6.349025069637885
5,新店,NO2,6.259610027855154
6,新店,NO2,7.05126050420168
7,新店,NO2,9.909523809523812
8,新店,NO2,13.780112044817928
9,新店,NO2,14.289859154929582
10,新店,NO2,14.48551532033426
11,新店,NO2,14.154029850746264
12,新店,NO2,13.207602339181292
13,新店,NO2,12.953672316384177
14,新店,NO2,12.84883040935672
15,新店,NO2,13.122608695652174
16,新店,NO2,14.25140449438202
17,新店,NO2,16.249019607843145
18,新店,NO2,18.260055865921785
19,新店,NO2,19.67158774373259
20,新店,NO2,18.803888888888892
21,新店,NO2,17.151944444444446
22,新店,NO2,16.54888888888888
23,新店,NO2,15.004166666666666
24,新店,NO2,12.379108635097497
1,新店,PM10,28.29394812680115
2,新店,PM10,27.561046511627907
3,新店,PM10,26.512968299711815
4,新店,PM10,26.318840579710145
5,新店,PM10,25.80635838150289
6,新店,PM10,25.78488372093023
7,新店,PM10,25.77259475218659
8,新店,PM10,26.779710144927535
9,新店,PM10,29.399425287356323
10,新店,PM10,32.07692307692308
11,新店,PM10,34.739263803680984
12,新店,PM10,36.450581395348834
13,新店,PM10,36.934472934472936
14,新店,PM10,37.551319648093845
15,新店,PM10,38.32947976878613
16,新店,PM10,38.060171919770774
17,新店,PM10,37.417142857142856
18,新店,PM10,35.77556818181818
19,新店,PM10,34.23863636363637
20,新店,PM10,33.46875
21,新店,PM10,32.25568181818182
22,新店,PM10,31.24715909090909
23,新店,PM10,30.71551724137931
24,新店,PM10,29.111428571428572
1,新店,SO2,1.8088888888888894
2,新店,SO2,1.6391666666666678
3,新店,SO2,1.573333333333334
4,新店,SO2,1.507777777777779
5,新店,SO2,1.458611111111111
6,新店,SO2,1.4832869080779951
7,新店,SO2,1.5114206128133705
8,新店,SO2,1.7512534818941499
9,新店,SO2,2.0946927374301687
10,新店,SO2,2.3447513812154694
11,新店,SO2,2.561538461538462
12,新店,SO2,2.7217008797653945
