Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,TPE,KIX,Jetstar Asia Airways (3K),Jetstar Asia Airways,1057,02:36,,,,,320$gc,,,"Direct",2276,3992,3021
- -,TPE,KIX,EVA Air (BR),EVA Air,1057,02:36,,,,,332 321 77W 744$gc,,,"Direct",2276,3992,2091
- -,TPE,KIX,China Airlines (CI),China Airlines,1057,02:36,,,,,744 333 343$gc,,,"Direct",2276,3992,1756
- -,TPE,KIX,Cathay Pacific (CX),Cathay Pacific,1057,02:36,,,,,773 744$gc,,,"Direct",2276,3992,1680
- -,TPE,KIX,TransAsia Airways (GE),TransAsia Airways,1057,02:36,,,,,330$gc,,,"Direct",2276,3992,5038
- -,TPE,KIX,Japan Airlines (JL),Japan Airlines,1057,02:36,,,,,73H 767$gc,,,"Direct",2276,3992,2987
- -,TPE,KIX,Peach Aviation (MM),Peach Aviation,1057,02:36,,,,,320$gc,,,"Direct",2276,3992,17675
- -,TPE,KIX,All Nippon Airways (NH),All Nippon Airways,1057,02:36,,,,,332 321$gc,,,"Direct",2276,3992,324
- -,TPE,KLO,Philippine Airlines (PR),Philippine Airlines,928,02:21,,,,,320$gc,,,"Direct",2276,2430,3952
- -,TPE,KMG,Sichuan Airlines (3U),Sichuan Airlines,1155,02:48,,,,,320$gc,,,"Direct",2276,3382,4608
- -,TPE,KMG,China Eastern Airlines (MU),China Eastern Airlines,1155,02:48,,,,,737$gc,,,"Direct",2276,3382,1758
- -,TPE,KMI,China Airlines (CI),China Airlines,777,02:03,,,,,738$gc,,,"Direct",2276,2308,1756
- -,TPE,KMQ,EVA Air (BR),EVA Air,1189,02:52,,,,,M90$gc,,,"Direct",2276,2322,2091
- -,TPE,KMQ,All Nippon Airways (NH),All Nippon Airways,1189,02:52,,,,,M90$gc,,,"Codeshare",2276,2322,324
- -,TPE,KOJ,China Airlines (CI),China Airlines,739,01:58,,,,,738$gc,,,"Direct",2276,2307,1756
- -,TPE,KUH,TransAsia Airways (GE),TransAsia Airways,1795,04:05,,,,,330$gc,,,"Direct",2276,5994,5038
- -,TPE,KUL,EVA Air (BR),EVA Air,2015,04:31,,,,,332 77W$gc,,,"Direct",2276,3304,2091
- -,TPE,KUL,China Airlines (CI),China Airlines,2015,04:31,,,,,333 738 744$gc,,,"Direct",2276,3304,1756
- -,TPE,KUL,AirAsia X (D7),AirAsia X,2015,04:31,,,,,330$gc,,,"Direct",2276,3304,2417
- -,TPE,KUL,Malaysia Airlines (MH),Malaysia Airlines,2015,04:31,,,,,738$gc,,,"Direct",2276,3304,3378
- -,TPE,KWE,China Southern Airlines (CZ),China Southern Airlines,902,02:18,,,,,738$gc,,,"Direct",2276,3394,1767
- -,TPE,KWE,Primaris Airlines (FE),Primaris Airlines,902,02:18,,,,,M83$gc,,,"Direct",2276,3394,4044
- -,TPE,KWL,EVA Air (BR),EVA Air,699,01:53,,,,,M90$gc,,,"Direct",2276,3372,2091
- -,TPE,KWL,China Southern Airlines (CZ),China Southern Airlines,699,01:53,,,,,738$gc,,,"Direct",2276,3372,1767
- -,TPE,LAX,EVA Air (BR),EVA Air,6783,14:03,,,,,77W$gc,,,"Direct",2276,3484,2091
- -,TPE,LAX,China Airlines (CI),China Airlines,6783,14:03,,,,,744$gc,,,"Direct",2276,3484,1756
- -,TPE,LAX,Delta Air Lines (DL),Delta Air Lines,6783,14:03,,,,,744$gc,,,"Codeshare",2276,3484,2009
- -,TPE,LAX,US Airways (US),US Airways,6783,14:03,,,,,77W$gc,,,"Direct",2276,3484,5265
- -,TPE,LHW,Primaris Airlines (FE),Primaris Airlines,1291,03:04,,,,,M83$gc,,,"Direct",2276,6431,4044
- -,TPE,LHW,Hainan Airlines (HU),Hainan Airlines,1291,03:04,,,,,738$gc,,,"Direct",2276,6431,2660
- -,TPE,LJG,Mandarin Airlines (AE),Mandarin Airlines,1308,03:06,,,,,738$gc,,,"Direct",2276,4033,3392
- -,TPE,LJG,China Eastern Airlines (MU),China Eastern Airlines,1308,03:06,,,,,737$gc,,,"Direct",2276,4033,1758
